period,lau,name,registered_unemployed,registered_unemployed_females,disponible_unemployed,low_educated,long_term,unemployment_inflow,unemployment_outflow,below_25,over_55,vacancies,pop_period,TOTAL,Y15-64,Y15-64-females
2024-10-01,PL2182,Powiat limanowski,3255,1946,,488,1118,,,833,369,70,2023,131654,86540,42425
2024-10-01,SK031B,Žilina,3267,1799,2918,281,875,362,321,487,481,3701,2023,160538,105607,51920
2024-10-01,PL8111,Powiat bialski,3343,1638,,747,1517,,,531,468,186,2023,104849,68504,32795
2024-10-01,PL4143,Powiat koniński,3359,2063,,697,1434,,,620,366,21,2023,128837,86602,42397
2024-10-01,CZ0204,Kolín,3360,1939,3053,959,867,523,574,630,749,4443,2023,107731,68187,33267
2024-10-01,PL2283,Powiat m.Bytom,3380,1809,,1235,1279,,,361,598,173,2023,147759,97128,48635
2024-10-01,CZ0413,Sokolov,3385,1841,3162,1865,1143,481,448,655,733,891,2023,85670,55111,26827
2024-10-01,CZ020B,Příbram,3388,1763,3146,921,943,494,486,669,821,2901,2023,118150,73799,36460
2024-10-01,PL5173,Powiat świdnicki,3396,1772,,1013,1102,,,399,596,83,2023,150410,96474,47890
2024-10-01,HU3135,Salgótarjáni Járás,3411,1732,,1772,,,,364,1052,,2023,55569,35061,17280
2024-10-01,PL7123,Powiat zgierski,3428,1645,,1055,1189,,,377,612,854,2023,166340,106128,53269
2024-10-01,PL6133,Powiat m.Bydgoszcz,3458,1779,,890,795,,,292,593,294,2023,326434,206171,105291
2024-10-01,PL2244,Powiat m.Częstochowa,3468,1843,,843,823,,,301,643,106,2023,205969,128402,65139
2024-10-01,SK0328,Revúca,3485,1998,2168,1857,2279,143,97,393,722,121,2023,37816,25077,12187
2024-10-01,CZ0206,Mělník,3491,2021,3127,1263,1151,533,563,626,796,6395,2023,114115,73124,36095
2024-10-01,CZ0715,Šumperk,3491,1769,3277,956,1096,465,445,549,888,1241,2023,119838,74362,36306
2024-10-01,PL6195,Powiat m.Włocławek,3516,1908,,1222,1805,,,302,632,466,2023,100807,63573,32316
2024-10-01,PL8212,Powiat brzozowski,3520,1769,,607,1928,,,563,510,5,2023,63203,41581,20327
2024-10-01,PL4151,Powiat m.Poznań,3643,1891,,751,832,,,209,640,384,2023,538439,352755,181533
2024-10-01,PL8411,Powiat białostocki,3649,1560,,936,1540,,,377,637,77,2023,157896,103306,50710
2024-10-01,SK0326,Lučenec,3673,2020,2815,1570,1874,282,275,522,674,262,2023,69018,45829,22817
2024-10-01,CZ0521,Hradec Králové,3729,2119,3285,1051,980,584,657,682,844,4455,2023,167901,103690,51555
2024-10-01,PL6345,Powiat wejherowski,3731,2334,,902,1150,,,641,513,176,2023,229446,151420,75468
2024-10-01,CZ0424,Louny,3739,2065,3383,1640,1533,398,422,686,862,1079,2023,86899,55447,27078
2024-10-01,PL22B5,Powiat m.Sosnowiec,3744,1828,,968,1401,,,295,634,252,2023,187115,116350,58622
2024-10-01,CZ0412,Karlovy Vary,3760,2031,3406,1371,1390,442,461,594,988,1341,2023,115183,72602,36168
2024-10-01,PL6194,Powiat włocławski,3769,2121,,1273,2273,,,518,558,170,2023,82151,54250,26511
2024-10-01,CZ0532,Pardubice,3782,2170,3543,1002,887,622,703,649,833,5580,2023,180888,114786,56596
2024-10-01,SK042A,Spišská Nová Ves,3807,2211,3011,1893,1872,324,375,599,588,290,2023,98556,63495,31241
2024-10-01,SK0418,Sabinov,3808,2073,2936,2201,2195,230,236,698,484,42,2023,61542,39273,19080
2024-10-01,CZ0723,Vsetín,3900,1934,3595,936,1237,490,481,630,1056,1811,2023,142301,89719,43667
2024-10-01,CZ0311,České Budějovice,3903,2267,3666,971,795,771,667,686,826,3311,2023,201926,127753,63691
2024-10-01,PL7211,Powiat kielecki,3909,1987,,617,966,,,662,558,221,2023,211764,141238,68972
